Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,
peppers,70,57.22095185,0.999770846,25,1000,30077,Yes,,,
peppers,70,54.17013144,0.999397891,27,2000,30077,Yes,,,
peppers,70,52.53266265,0.998947746,69,3000,30077,Yes,,,
peppers,70,51.40621985,0.9984049,59,4000,30077,Yes,,,
peppers,70,50.47360522,0.997637074,68,5000,30077,Yes,,,
peppers,70,49.8017188,0.996880037,93,6000,30077,Yes,,,
peppers,70,49.21290273,0.995943782,134,7000,30077,Yes,,,
peppers,70,48.76812923,0.995040368,196,8000,30077,Yes,,,
peppers,70,48.39283926,0.994651532,197,9000,30077,Yes,,,
peppers,70,48.04926884,0.994435468,236,10000,30077,Yes,,,
peppers,70,47.74459277,0.99416835,222,11000,30077,Yes,,,
peppers,70,47.46619019,0.993812725,217,12000,30077,Yes,,,
peppers,70,47.17173479,0.993291517,241,13000,30077,Yes,,,
peppers,70,46.91780447,0.992672192,281,14000,30077,Yes,,,
peppers,70,46.62352911,0.991759348,371,15000,30077,Yes,,,
peppers,80,60.61006579,0.999891868,28,1000,41936,Yes,,,
peppers,80,57.61386251,0.999723364,34,2000,41936,Yes,,,
peppers,80,55.81526559,0.999489435,35,3000,41936,Yes,,,
peppers,80,54.66115644,0.999217568,45,4000,41936,Yes,,,
peppers,80,53.69673876,0.998846553,53,5000,41936,Yes,,,
peppers,80,52.95186973,0.998457012,52,6000,41936,Yes,,,
peppers,80,52.32367912,0.997982106,59,7000,41936,Yes,,,
peppers,80,51.78864798,0.997461704,105,8000,41936,Yes,,,
peppers,80,51.33561778,0.996926844,139,9000,41936,Yes,,,
peppers,80,50.94747581,0.996761148,139,10000,41936,Yes,,,
peppers,80,50.59318076,0.996642473,157,11000,41936,Yes,,,
peppers,80,50.27085205,0.996464121,138,12000,41936,Yes,,,
peppers,80,49.96319142,0.996229208,164,13000,41936,Yes,,,
peppers,80,49.6906004,0.995945816,164,14000,41936,Yes,,,
peppers,80,49.43796167,0.995603607,181,15000,41936,Yes,,,
peppers,90,64.52818079,0.999953526,-9,1000,75309,Yes,,,
peppers,90,61.50417044,0.999881049,62,2000,75309,Yes,,,
peppers,90,59.84506641,0.999793711,24,3000,75309,Yes,,,
peppers,90,58.60644833,0.999684526,-12,4000,75309,Yes,,,
peppers,90,57.65984662,0.999551197,-18,5000,75309,Yes,,,
peppers,90,56.86634985,0.999395869,-61,6000,75309,Yes,,,
peppers,90,56.2109852,0.99922667,-49,7000,75309,Yes,,,
peppers,90,55.6471872,0.999027443,-15,8000,75309,Yes,,,
peppers,90,55.16972045,0.998820803,19,9000,75309,Yes,,,
peppers,90,54.73276219,0.998588095,-15,10000,75309,Yes,,,
peppers,90,54.37662357,0.998366268,16,11000,75309,Yes,,,
peppers,90,54.1960986,0.998343139,9,12000,75309,Yes,,,
peppers,90,54.00236884,0.998302323,10,13000,75309,Yes,,,
peppers,90,53.81777224,0.998257035,10,14000,75309,Yes,,,
peppers,90,53.64105656,0.998198258,4,15000,75309,Yes,,,
splash,50,53.52134459,0.999023097,23,1000,11293,Yes,,,
splash,50,50.58608933,0.997702258,31,2000,11293,Yes,,,
splash,50,49.03128552,0.996122058,49,3000,11293,Yes,,,
splash,50,47.93354895,0.99419614,96,4000,11293,Yes,,,
splash,50,47.16129264,0.992278957,183,5000,11293,Yes,,,
splash,50,46.48660834,0.991111967,211,6000,11293,Yes,,,
splash,50,45.43352669,0.989539851,255,7000,11293,Yes,,,
splash,50,44.59788167,0.987488432,305,8000,11293,Yes,,,
splash,50,44.11005094,0.986307539,313,9000,11293,Yes,,,
splash,50,43.52778055,0.984751484,386,10000,11293,Yes,,,
splash,50,42.83286554,0.983104337,428,11000,11293,Yes,,,
splash,50,42.40316661,0.982452612,438,12000,11293,No,,,
splash,50,42.40316661,0.982452612,438,13000,11293,No,,,
splash,50,42.40316661,0.982452612,438,14000,11293,No,,,
splash,50,42.40316661,0.982452612,438,15000,11293,No,,,
splash,60,54.94682246,0.999243549,42,1000,14825,Yes,,,
splash,60,52.18660798,0.998255847,34,2000,14825,Yes,,,
splash,60,50.57633203,0.997021875,82,3000,14825,Yes,,,
splash,60,49.4426651,0.995708181,95,4000,14825,Yes,,,
splash,60,48.58881296,0.994338795,149,5000,14825,Yes,,,
splash,60,47.91495527,0.99275702,243,6000,14825,Yes,,,
splash,60,47.37023268,0.992108462,269,7000,14825,Yes,,,
splash,60,46.85031971,0.991208182,287,8000,14825,Yes,,,
splash,60,45.87211238,0.989547116,344,9000,14825,Yes,,,
splash,60,45.45045677,0.98810708,406,10000,14825,Yes,,,
splash,60,45.09656414,0.987364042,450,11000,14825,Yes,,,
